Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
9,8,7,7,5,4,40,40
9,7,6,5,5,4,36,76
8,8,8,7,7,5,43,119
10,9,8,6,5,4,42,161
6,6,6,5,5,3,31,192
