Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
10,9,9,8,6,6,48,48
10,8,8,8,7,7,48,96
9,9,9,9,7,6,49,145
9,8,8,8,7,6,46,191
10,9,9,9,9,7,53,244
