Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
9,8,8,6,6,4,41,41
9,9,8,7,7,5,45,86
10,9,9,9,8,1,46,132
9,8,6,3,2,0,28,160
9,9,9,8,8,7,50,210
