Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
10,8,8,8,8,7,49,49
10,9,8,8,8,7,50,99
8,8,7,7,7,3,40,139
10,9,9,8,8,5,49,188
8,8,8,7,6,5,42,230
