Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
10,9,8,8,7,7,49,49
10,10,9,9,9,9,56,105
10,8,8,8,6,6,46,151
9,9,8,7,6,6,45,196
10,10,10,9,8,7,54,250
