Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
10,10,8,8,7,6,49,49
9,9,8,8,8,7,49,98
10,9,8,8,8,8,51,149
10,9,8,6,6,4,43,192
10,9,9,9,8,8,53,245
