Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
7,7,6,5,5,3,33,33
10,8,8,7,6,5,44,77
9,9,7,7,6,4,42,119
9,9,8,8,7,7,48,167
10,9,9,9,8,6,51,218
