Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
9,9,8,8,7,7,48,48
10,9,8,8,7,7,49,97
10,9,9,8,7,7,50,147
10,9,9,8,7,6,49,196
9,9,9,8,8,8,51,247
