Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
9,9,9,8,7,7,49,49
10,8,8,7,7,6,46,95
9,9,9,8,7,3,45,140
10,9,7,6,5,4,41,181
10,10,9,9,8,7,53,234
