Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
8,7,7,7,7,4,40,40
9,9,7,7,6,5,43,83
10,9,9,8,8,8,52,135
6,6,6,6,5,5,34,169
9,9,9,9,8,7,51,220
