Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
9,5,3,7,5,0,29,29
5,4,3,9,8,2,31,60
9,8,4,5,4,1,31,91
10,8,3,8,7,4,40,131
7,3,3,8,6,4,31,162
