Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
10,10,9,9,8,7,53,53
9,8,8,8,8,7,48,101
9,8,7,7,7,5,43,144
10,10,9,8,8,7,52,196
10,9,9,7,6,5,46,242
