Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
10,7,6,0,0,0,23,23
10,10,9,9,8,7,53,76
7,7,7,6,6,5,38,114
10,9,8,7,6,6,46,160
9,8,8,7,7,2,41,201
