Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
8,7,6,4,3,3,31,31
9,9,7,6,6,6,43,74
7,6,6,6,5,5,35,109
9,7,7,6,6,6,41,150
8,7,6,5,4,3,33,183
