Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
9,9,6,10,9,8,51,51
8,7,5,8,7,5,40,91
9,6,2,8,3,2,30,121
9,8,5,10,6,4,42,163
5,4,0,9,8,7,33,196
