Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
8,8,6,0,0,0,22,22
8,6,0,0,0,0,14,36
9,8,7,0,0,0,24,60
0,0,0,0,0,0,0,60
9,9,8,0,0,0,26,86
