Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
9,6,5,4,2,1,27,27
10,9,9,7,5,3,43,70
10,10,8,8,6,6,48,118
10,9,9,8,7,7,50,168
9,7,7,6,6,5,40,208
