Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
7,7,6,10,8,7,45,45
10,9,7,7,7,4,44,89
9,8,8,8,6,3,42,131
7,6,4,8,5,2,32,163
9,4,2,9,8,3,35,198
