Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
10,9,9,7,7,5,47,47
9,8,8,8,7,5,45,92
8,8,8,6,6,5,41,133
10,9,9,8,8,6,50,183
10,9,9,9,5,5,47,230
