Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
7,6,6,8,8,5,40,40
8,7,5,8,8,7,43,83
8,4,3,9,9,7,40,123
8,8,3,8,7,6,40,163
9,7,6,9,9,4,44,207
