Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
10,9,7,6,6,5,43,43
8,7,7,7,7,5,41,84
9,9,8,8,8,7,49,133
8,8,7,6,6,6,41,174
8,6,5,5,4,2,30,204
