Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
9,8,8,10,7,7,49,49
8,7,4,9,7,7,42,91
8,8,5,9,9,7,46,137
10,8,5,9,9,6,47,184
10,10,6,9,8,7,50,234
