Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
9,7,7,6,6,5,40,40
10,10,8,6,2,0,36,76
9,9,9,9,7,4,47,123
7,7,6,6,5,4,35,158
8,6,5,5,5,3,32,190
