Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
9,8,8,7,7,5,44,44
9,9,9,9,8,3,47,91
10,9,9,8,8,7,51,142
10,10,9,8,7,5,49,191
9,9,9,8,7,4,46,237
