Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
9,8,8,6,6,4,41,41
9,8,8,7,5,4,41,82
10,10,9,9,6,5,49,131
10,8,8,7,5,3,41,172
10,8,8,8,7,4,45,217
