Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
9,8,7,7,6,6,43,43
10,9,8,8,7,4,46,89
10,10,10,8,8,7,53,142
10,8,4,4,4,2,32,174
8,7,7,5,4,4,35,209
