Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
10,10,9,9,8,5,51,51
10,9,9,8,7,6,49,100
10,10,9,8,7,4,48,148
9,9,9,9,8,7,51,199
9,9,8,8,7,3,44,243
