Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
10,9,9,9,9,8,54,54
10,10,9,9,8,7,53,107
10,10,8,8,7,7,50,157
10,9,8,8,7,6,48,205
7,7,7,7,6,6,40,245
