Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
9,8,7,6,6,6,42,42
10,9,8,8,7,6,48,90
10,9,9,9,8,0,45,135
9,8,8,7,0,0,32,167
9,8,8,7,7,7,46,213
