Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
8,8,7,7,5,5,40,40
9,8,8,8,7,6,46,86
10,8,7,7,6,5,43,129
9,8,8,7,6,4,42,171
9,8,7,7,7,5,43,214
