Arrow 1,Arrow 2,Arrow 3,Arrow 4,Arrow 5,Arrow 6,6 Arrow Total,Running Total
9,8,8,8,6,0,39,39
9,9,8,8,8,7,49,88
10,10,9,9,6,0,44,132
9,8,7,7,7,0,38,170
10,9,9,8,7,6,49,219
